Accucast,"Mon, 9 May 2005 15:19:12 -0500 (CDT)"
"Alpine 2.00 (DEB 1167 2008-08-23), Linux 2.6.32-5-amd64, x86_64","Fri, 4 May 2012 13:13:11 +0200 (CEST)"
Blue Shield Mail Server,"Sun, 14 Aug 2011 05:29:29 -0700 (PDT)"
CAcert.org Website,"Mon, 12 Mar 2012 05:45:50 +0100 (CET)"
COMS/EA2.5.1,"Mon,  9 Jan 2012 15:46:04 +0100 (CET)"
ColdFusion 8 Application Server,"Wed, 1 Jul 2009 06:49:57 -0400 (EDT)"
ColdFusion 9 Application Server,"Tue, 1 May 2012 03:34:22 -0400 (EDT)"
ColdFusion MX Application Server,"Fri, 23 Dec 2005 09:29:19 -0700 (MST)"
Coremail Webmail Server Version XT2_snapshot build 090319(6914.2271.2266) Copyright (c) 2002-2009 www.mailtech.cn 163com,"Tue, 28 Apr 2009 07:55:14 +0800 (CST)"
Coremail Webmail Server Version XT_Ux_snapshot build 081119(6371.2087.2083) Copyright (c) 2002-2008 www.mailtech.cn 163com,"Thu, 11 Dec 2008 16:00:27 +0800 (CST)"
ELM [version 2.4ME+ PL123],"Mon, 27 Aug 2007 10:47:47 -0400 (EDT)"
ELM [version 2.5 PL3],"Fri, 3 Aug 2007 09:12:47 -0700 (PDT)"
EarthLink Zoo Mail 1.0,"Tue, 4 Apr 2006 10:44:57 -0400 (GMT-04:00)"
Eloop Mailer,"Mon, 11 Dec 2006 12:33:36 -0500 (EST)"
HTML Mime mail class,"Tue, 11 Sep 2007 14:04:00 -0400 (EDT)"
Hammer-Nail,"Sun, 22 May 2011 17:12:47 -0500 (CDT)"
IlohaMail/0.8.14 (On: filter24.org),"Tue,  9 Nov 2010 13:58:49 -0500 (EST)"
IlohaMail/0.8.14 (On: fugu.xinu.tv),"Wed, 18 May 2005 09:46:23 -0400 (EDT)"
IlohaMail/0.8.14 (On: nugu.slackasses.com),"Fri, 18 Jul 2008 20:30:25 +0000 (UTC)"
IlohaMail/0.8.14 (On: nugu.xinu.tv),"Wed, 28 May 2008 12:42:05 +0000 (UTC)"
IlohaMail/0.8.14 (On: xinu.tv),"Fri, 18 Jul 2008 21:13:56 +0000 (UTC)"
JavaMail,"Wed, 4 Nov 2009 21:24:31 +0000 (GMT)"
